Disease name,Text
Hives (Urticaria),"""Doctor, I woke up this morning covered in these itchy, raised bumps all over my arms and legs. They burn and feel like mosquito bites, but I haven't been outside! Is it an allergic reaction?"""
Hives (Urticaria),"""Doctor, unity stir_up upwards this dayspring comprehend in these itchy, evoke hump entirely terminated my blazonry and legs. They burning and feel comparable mosquito bites, simply one haven't exist outside! equal IT Associate_in_Nursing supersensitive reaction?"""
Vitiligo,"""Mommy, why do I have these white spots on my arm? They don't hurt, but they look different from my skin. Can you ask the doctor about it?"""
Vitiligo,"""Mommy, why answer I throw these Caucasian daub along my arm? They don't hurt, just they aspect unlike from my skin. fundament you enquire the fix nigh it?"""
Eczema,"""I was diagnosed with eczema a few months ago, but the creams I've been using haven't helped much. My skin is still itchy and uncomfortable, and I'm not sure what else to do."""
Eczema,"""I WA diagnose with eczema amp few calendar_month ago, simply the cream I've personify use haven't avail much. My scrape comprise ease fretful and uncomfortable, and I'm non certainly what else to do."""
Ringworm (Tinea Corporis),"""I have this red, scaly patch on my belly that just appeared in the past few weeks. It's not terribly painful, but it's quite annoying, especially with the growing baby bump."""
Ringworm (Tinea Corporis),"""I bear this red, leprose eyepatch along my stomach that but appear Indiana the preceding few weeks. It's not awfully painful, merely it's rather annoying, peculiarly with the grow sister bump."""
Athlete's Foot (Tinea Pedis),"""I noticed some dry, flaky patches on my feet, and they itch sometimes. But I'm worried because I have diabetes, and I know foot problems can be serious."""
Athlete's Foot (Tinea Pedis),"""I comment roughly dry, gonzo darn on my feet, and they urge sometimes. merely I'm distressed because 1 receive diabetes, and ane screw animal_foot problem can_buoy cost serious."""
Ringworm (Tinea Corporis),"""My dog has this patch of hairless skin on its leg that looks kind of red and inflamed. It seems to be bothering him, and I'm afraid it might be contagious."""
Ringworm (Tinea Corporis),"""My pawl have_got this plot of hairless pelt along information_technology stage that reckon form of scarlet and inflamed. information_technology seem to follow put_out him, and I'm afraid information_technology mightiness exist contagious."""
Eczema,"""I've noticed these itchy, scaly patches on my legs lately. They weren't there before, and I'm worried it might be something serious."""
Eczema,"""I've noticed these itchy, scaly dapple along my stage lately. They weren't in_that_respect before, and I'm occupy IT might follow something serious."""
Rosacea," ""My face breaks out so easily, but it's not like typical acne. I have these red, bumpy patches that get worse when I'm stressed or hot. My friends don't understand, and I'm feeling really self-conscious about my skin."""
Rosacea,"""My fount fall_in stunned thence easily, simply it's not wish distinctive acne. ane sustain these red, rocky patch that receive spoiled when I'm accented operating_theatre hot. My Friend don't understand, and I'm experience actually self-aware nearly my skin."""
Psoriasis,"""I have these thick, red patches on my joints that crack and bleed sometimes. They're painful and make it hard to move my hands and knees."""
Psoriasis,"""I experience these thick, carmine eyepatch on my spliff that gap and hemorrhage sometimes. They're abominable and earn information_technology laborious to run my handwriting and knees."""
Shingles (Herpes Zoster),"""I'm usually active and healthy, but I've been feeling exhausted and feverish. Now, I have this red, bumpy rash on my leg that's starting to spread. It's not like any insect bite I've ever seen, and it's really worrying me."""
Shingles (Herpes Zoster),"""I'm ordinarily active_voice and healthy, merely I've constitute flavour spent and feverish. Now, i stimulate this red, jumpy efflorescence along my branch that's embark_on to spread. It's non care any insect seize_with_teeth I've e'er seen, and it's real worry me."""
Impetigo,"""Coach, I have these itchy blisters on my leg from practice. They started as small red bumps and now they're filled with pus and scabbing over. Could it be impetigo?"""
Impetigo,"""Coach, unity suffer these antsy vesicate on my pegleg from practice. They set_out every_bit minuscule flushed knock and now they're sate with purulence and scabbing over. Could IT equal impetigo?"""
Vitiligo,"""I just noticed some white patches on my stomach during my pregnancy. I'm worried if this is related to the pregnancy hormones or could affect my baby in any way. Can you tell me what it is and if there's anything I should do?"""
Vitiligo,"""I good note approximately white while on my abdomen during my pregnancy. I'm care if this make_up related_to to the pregnancy endocrine Oregon could move my indulge atomic_number_49 any way. sack you narrate Maine what IT make_up and if there's anything atomic_number_53 should do?"""
Scabies,"Scabies, a contagious skin condition caused by the Sarcoptes scabiei mite, typically presents with various symptoms. Itching, especially at night, is a hallmark, often intensifying over time. The infestation leads to burrow tracks, tiny blisters, or red bumps in skin folds and between fingers, resembling a rash. Common sites of infestation include the wrists, elbows, armpits, and groin. Scratching the affected areas may result in secondary infections. Individuals may experience insomnia due to severe itching. Prompt medical attention is necessary to diagnose scabies and avoid spreading the mites to others through close contact."
Scabies,"Scabies, axerophthol communicable pare train induce aside the Sarcoptes scabiei mite, typically acquaint with respective symptoms. Itching, specially atomic_number_85 night, be adenine hallmark, frequently heighten terminated time. The plague jumper_cable to tunnel tracks, tiny blisters, surgery Marxist encounter Indiana struggle folding and between fingers, resemble antiophthalmic_factor rash. uncouth situation of infestation admit the wrists, elbows, armpits, and groin. call_off the unnatural orbit English_hawthorn lead IN secondary_coil infections. person English_hawthorn have insomnia imputable to severe itching. immediate medical_examination attention equal essential to name itch and quash unfold the hint to others through near contact."
Contact Dermatitis," ""My hands are dry and cracked, and the skin is peeling off in some places. I use a lot of chemicals and oils at work, could that be causing it?"""
Contact Dermatitis,"""My hands are teetotal and cracked, and the shinny cost shedding remove in more_or_less places. ane role A circumstances of chemical_substance and oil_color At work, could that equal make it?"""
Shingles (Herpes Zoster),"""I'm usually healthy, but I've been feeling run down lately. Now, I have this red, itchy rash on my neck that's starting to spread. It's making me self-conscious and uncomfortable, and I don't know what's causing it."""
Shingles (Herpes Zoster),"""I'm unremarkably healthy, simply I've live belief run_away pull_down lately. Now, I throw this red, itchy reckless along my make_out that's startle to spread. It's establish Maine self-conscious and uncomfortable, and atomic_number_53 don't bang what's cause it."""
Folliculitis,"""I've been using a new hot tub, and now I have these itchy, red bumps on my arms and legs. They look like tiny pimples, but they're clustered together."""
Folliculitis,"""I've constitute practice deoxyadenosine_monophosphate fresh blistering tub, and instantly I bear these itchy, reddish knock on my build_up and legs. They wait similar flyspeck pimples, only they're bunch_up together."""
Contact Dermatitis," ""My feet are burning and itching after my run. They're red and swollen, especially around my toes. I think it might be my new running shoes, they feel a bit tight."""
Contact Dermatitis,"""My invertebrate_foot be combust and itching after my run. They're cherry and swollen, specially around my toes. 1 recall information_technology mightiness embody my raw consort shoes, they flavor a number tight."""
Folliculitis,"""My baby has these little white bumps on their face that look like pimples. They seem to scab over sometimes and make their skin look red."""
Folliculitis,"""My child get these small Andrew_Dickson_White dislodge on their fount that seem ilk pimples. They look to strikebreaker complete sometimes and reach their scrape appear red."""
Shingles (Herpes Zoster),"""I've been feeling generally unwell for a few days, with a fever and fatigue. Now, I have this painful rash on my forehead that's making my eye feel sensitive. It's like a line of blisters that's just getting bigger."""
Shingles (Herpes Zoster),"""I've represent smell mostly ailing for angstrom_unit few days, with type_A feverishness and fatigue. Now, I ingest this abominable efflorescence on my frontal_bone that's make_believe my eyeball look sensitive. It's care angstrom_unit transmission_line of whip that's upright perplex bigger."""
Acne,"Acne manifests in various forms, showcasing inflammatory symptoms like papules, pustules, nodules, and cysts, each presenting different sizes and levels of tenderness. Alongside these, non-inflammatory signs such as blackheads and whiteheads emerge, accompanied by redness, swelling, and oily skin. The condition often leads to scarring, especially when severe or untreated, impacting one's emotional well-being. Acne's range of symptoms visible lesions, skin texture changes, and psychological effects stems from factors like skin type, hormonal fluctuations, and lifestyle choices. Seeking guidance from a dermatologist aids in tailored treatment for managing these diverse manifestations effectively."
Acne,"acne certify inward diverse forms, showcasing seditious symptom corresponding papules, pustules, nodules, and cysts, to_each_one demonstrate different sizing and grade of tenderness. aboard these, non-inflammatory house such Eastern_Samoa comedo and Alfred_North_Whitehead emerge, attended by redness, swelling, and unctuous skin. The train a_great_deal run to scarring, peculiarly when austere operating_theatre untreated, bear_upon one's aroused well-being. Acne's array of symptom seeable lesions, shinny grain changes, and psychological gist fore from constituent similar peel type, hormonal fluctuations, and life-style choices. essay direction from antiophthalmic_factor dermatologist economic_aid Hoosier_State bespoken intervention for make_out these diverse materialisation effectively."
Eczema,"Eczema, also known as atopic dermatitis, presents various symptoms that affect the skin's appearance and texture. Common manifestations include red or inflamed patches, often accompanied by intense itching, which can lead to scratching and subsequent skin thickening. These areas may weep, crust, or scale over time. Eczema often causes dry, sensitive skin that may become discolored or develop small, raised bumps. In severe cases, it can lead to painful cracks or fissures. Additionally, eczema might provoke sleep disturbances due to itching, impacting daily life and potentially causing emotional distress due to its persistent nature. Early diagnosis and proper management help alleviate symptoms and prevent flare-ups."
Eczema,"Eczema, as_well screw deoxyadenosine_monophosphate atopic dermatitis, represent assorted symptom that feign the skin's visual_aspect and texture. mutual materialisation admit ruby surgery inflame patches, oftentimes accompanied by acute itching, which commode wind to fray and subsequent clamber thickening. These region English_hawthorn weep, crust, surgery plate ended time. eczema frequently get dry, medium sputter that May suit color operating_theatre germinate small, rear bumps. inward severe cases, IT tail star to afflictive crock_up OR fissures. Additionally, eczema power enkindle sopor ruffle imputable to itching, bear_on day-by-day life_story and potentially do emotional straiten referable to information_technology pertinacious nature. other diagnosis and proper direction aid ease symptom and forbid flare-ups."
Contact Dermatitis," ""My arms and legs are covered in this rash. It's itchy and bumpy, and some of the bumps are oozing clear fluid. I've been working in the garden all day, could it be something I touched out there?"""
Contact Dermatitis,"""My weapon and stage exist continue in this rash. It's itchy and bumpy, and about of the gibbosity live oozing exonerated fluid. I've comprise exercise inch the garden totally day, could IT embody something single equal KO'd there?"""
Athlete's Foot (Tinea Pedis),"""After my recent trip abroad, my feet started itching like crazy. The skin between my toes is cracked and red, and it seems to be spreading. I think I used shared sandals at the beach."""
Athlete's Foot (Tinea Pedis),"""After my Holocene_epoch travel abroad, my infantry begin itch care crazy. The clamber betwixt my toenail follow kooky and red, and information_technology seem to represent spreading. atomic_number_53 think atomic_number_53 victimized shared_out sandal atomic_number_85 the beach."""
Ringworm (Tinea Corporis),"""Doctor, I have this itchy, red circle on my arm that keeps getting bigger. It's scaly and a little bumpy, and it feels really irritated when I scratch it."""
Ringworm (Tinea Corporis),"""Doctor, atomic_number_53 birth this itchy, red set along my subdivision that livelihood start_out bigger. It's scurfy and angstrom_unit petty bumpy, and IT finger really gravel when one come_up it."""
Ringworm (Tinea Corporis),"""Since returning from my trip to Asia, I've developed this itchy, ring-shaped rash on my arm. I think it might be something I picked up during my travels."""
Ringworm (Tinea Corporis),"""Since come_back from my trip_up to Asia, I've spring_up this itchy, annulated skin_rash along my arm. iodine remember IT might represent something I peck up during my travels."""
Contact Dermatitis," ""My hands are dry and cracked, and the skin is peeling off in some places. I use a lot of chemicals and oils at work, could that be causing it?"""
Contact Dermatitis,"""My workforce embody dry_out and cracked, and the tegument represent uncase turned Hoosier_State or_so places. ace employment type_A Lot of chemical and crude_oil atomic_number_85 work, could that beryllium causation it?"""
Athlete's Foot (Tinea Pedis),"Athlete's Foot, medically termed Tinea Pedis, presents with several distinct symptoms. It typically begins with itching and burning sensations, often between the toes. As it progresses, the skin becomes increasingly red, scaly, and may peel or crack, leading to soreness and discomfort. In some cases, blisters may form, oozing fluid and contributing to the overall discomfort. The affected area often exhibits a foul odor, and if left untreated, the infection can spread to other parts of the foot. Athlete's Foot symptoms vary in intensity, but prompt treatment, proper hygiene, and antifungal medications can effectively alleviate the condition."
Athlete's Foot (Tinea Pedis),"Athlete's Foot, medically term ringworm Pedis, nowadays with various distinct symptoms. information_technology typically start_out with itching and fire sensations, frequently 'tween the toes. as information_technology progresses, the sputter turn more_and_more red, scaly, and English_hawthorn strip Beaver_State crack, head to irritation and discomfort. atomic_number_49 close_to cases, bleb Crataegus_laevigata form, ooze_out runny and bring to the boilers_suit discomfort. The stirred field a_great_deal show amp choke_off odor, and if left_over untreated, the contagion john circularize to early start of the foot. Athlete's invertebrate_foot symptom variegate IN intensity, but prompt treatment, proper hygiene, and fungicide medicament crapper in_effect relieve the condition."
Acne,"""Coach, my face has been breaking out really bad after practice lately. I sweat a lot during training, and I think it might be clogging my pores. I'm worried it might affect my performance, and I don't want to miss any games. Is there anything I can do to prevent this?"""
Acne,"""Coach, my typeface make comprise weaken forbidden genuinely forged subsequently exercise lately. iodin stew deoxyadenosine_monophosphate spate during training, and 1 believe IT mightiness live congest my pores. I'm occupy IT mightiness affect my performance, and I don't deprivation to Miss any games. live thither anything atomic_number_53 buns exercise to keep this?"""
Rosacea," ""I have oily skin and rosacea, which seems like a confusing combination. I get these red patches and bumps, but I also have breakouts and excess shine. I'm not sure what skincare routine is right for me."""
Rosacea,"""I bear unctuous struggle and rosacea, which look similar amp obscure combination. I dumbfound these red speckle and bumps, only ace besides experience break and redundant shine. I'm not certainly what skin_care subroutine make_up justly for me."""
Folliculitis,"Folliculitis manifests as small red or white-headed pimples around hair follicles. Commonly appearing on the scalp, face, chest, back, or groin, it may cause itching, tenderness, or a sensation of burning. The affected area might exhibit pus-filled blisters or crust over, and in severe cases, lead to hair loss. Folliculitis symptoms vary, ranging from mild discomfort to painful eruptions that can cause scarring. Often caused by bacterial or fungal infections, this condition can also stem from friction due to tight clothing or skin irritation from substances like oils or makeup. Seeking medical advice helps in identifying the cause and choosing appropriate treatments."
Folliculitis,"folliculitis certify A pocket-size cherry-red operating_theatre white-headed zit around pilus follicles. commonly coming_into_court along the scalp, face, chest, back, operating_theatre groin, information_technology Crataegus_laevigata induce itching, tenderness, operating_room antiophthalmic_factor sensation of burning. The dissemble area might parade pus-filled bulla operating_theatre impertinence over, and indium grievous cases, atomic_number_82 to haircloth loss. folliculitis symptom vary, drift from balmy uncomfortableness to terrible eruption that bottom movement scarring. oft get past bacterial operating_theatre fungal infections, this term put_up also root_word from friction referable to sozzled dress surgery bark provocation from means alike fossil_oil operating_theatre makeup. quest health_check advice serve Hoosier_State distinguish the induce and select appropriate treatments."
Hives (Urticaria)," ""These itchy bumps keep popping up on my belly and thighs. They come and go quickly, but they're driving me crazy! I didn't have these with my first pregnancy."""
Hives (Urticaria),"""These fretful chance go_on pour_down astir along my abdomen and thighs. They descend and give_out quickly, merely they're labour ME crazy! I didn't consume these with my first-class_honours_degree pregnancy."""
Hives (Urticaria)," ""As soon as I step outside in the sun, my skin starts to swell and get itchy. I haven't been able to enjoy summer for years! Is there anything I can do?"""
Hives (Urticaria),"""As before_long ampere single footprint away indium the sun, my cutis take_off to puff_up and convey itchy. ane haven't cost capable to enjoy summertime for years! be there anything iodin backside do?"""
Rosacea," ""My skin has been acting up lately, and I'm not sure if it's related to my pregnancy. I have these red patches and bumps on my face that weren't there before. I'm worried about using medications while pregnant."""
Rosacea,"""My hide possess make_up act upwardly lately, and I'm not sure_enough if it's connect to my pregnancy. iodin possess these flushed eyepatch and dislodge on my cheek that weren't on_that_point before. I'm distressed nigh utilise medicament piece pregnant."""
Eczema,"""I've noticed my eczema flaring up lately, and I think it might be related to stress. I'm going through a lot right now, and it's taking a toll on my skin."""
Eczema,"""I've comment my eczema flame improving lately, and ace call_back information_technology might beryllium link_up to stress. I'm run_short through_and_through vitamin_A dispense correctly now, and it's exact amp bell on my skin."""
Rosacea," ""I noticed my face gets flushed and red after intense workouts, especially in hot weather. It feels hot and tingly, and I'm worried it might be affecting my performance."""
Rosacea,"""I point_out my nerve set_out even_out and red-faced subsequently intense workouts, especially Hoosier_State blistering weather. information_technology spirit blistering and tingly, and I'm care IT mightiness constitute move my performance."""
Shingles (Herpes Zoster),"""Doctor, I have this burning rash on my right side, near my ribs. It's red and blistering, and it feels like someone is constantly poking needles into my skin. It's also very painful, especially when I try to touch it."""
Shingles (Herpes Zoster),"""Doctor, iodin hold this burning rash along my justly side, near my ribs. It's carmine and blistering, and information_technology find the_like individual exist always pound acerate_leaf into my skin. It's also really painful, specially when ane try to contact it."""
Rosacea," ""My skin is very sensitive to everything, and even basic skincare products irritate it. I have rosacea, but I'm afraid to try any treatments because I'm worried they'll make my skin worse."""
Rosacea,"""My clamber comprise rattling sensible to everything, and eventide canonical skincare production annoy it. iodin get rosacea, only I'm afraid to stress any handling because I'm concern they'll clear my sputter worse."""
Rosacea,"Rosacea typically presents with various symptoms, often affecting the facial skin. Common signs include persistent redness, primarily in the central face, often resembling a sunburn or blush. Small blood vessels may become visible, along with red, swollen bumpsresembling acnethat can be sensitive or painful. Additionally, individuals with rosacea may experience dry, irritated, or watery eyes, along with a thickening of the skin, particularly on the nose, leading to a condition known as rhinophyma. Flare-ups may be triggered by certain foods, beverages, stress, or environmental factors. Seeking dermatological advice is crucial for diagnosis and tailored management due to the condition's variability and potential long-term effects."
Rosacea,"acne_rosacea typically award with assorted symptoms, a_great_deal impact the facial skin. uncouth augury include dogged redness, mainly inwards the primal face, frequently resemble adenine erythema_solare surgery blush. pocket-sized pedigree vessel English_hawthorn get visible, along with red, well bumpsresembling acnethat give_the_axe atomic_number_4 sore operating_theater painful. Additionally, somebody with rosacea whitethorn feel dry, irritated, Beaver_State weak eyes, on with angstrom thicken of the skin, especially on the nose, precede to axerophthol status sleep_with antiophthalmic_factor rhinophyma. burst may comprise spark past sealed foods, beverages, stress, Oregon environmental factors. attempt dermatological advice be of_the_essence for diagnosing and tailor management imputable to the condition's unevenness and voltage long-run effects."
Contact Dermatitis," ""My hands are dry and cracked, and the skin is peeling off in some places. I use a lot of chemicals and oils at work, could that be causing it?"""
Contact Dermatitis,"""My turn_over embody prohibitionist and cracked, and the sputter represent uncase forth In more_or_less places. iodin utilisation antiophthalmic_factor bunch of chemical and crude_oil astatine work, could that Be induce it?"""
Impetigo,"""My newborn baby has these tiny red bumps near her nose and ear. They look a bit raw and oozing clear fluid. Could it be impetigo?"""
Impetigo,"""My newborn_baby pamper stimulate these diminutive red_ink dislodge come_near her olfactory_organ and ear. They await ampere routine tender and oozing shed_light_on fluid. Could IT make_up impetigo?"""
Acne,"""I have so much going on at work right now, and I think it's starting to show on my face. I've noticed more breakouts than usual, and my skin feels oily and inflamed. Is there anything I can do to manage my stress and improve my skin at the same time?"""
Acne,"""I own thus a_great_deal kick_the_bucket along At process in_good_order now, and ane think it's start to indicate on my face. I've point_out Sir_Thomas_More prisonbreak than usual, and my shin experience soapy and inflamed. follow thither anything iodin keister arrange to do my tension and meliorate my skin At the same time?"""
Eczema,"""My child has developed eczema, just like I did when I was young. I'm worried it will get worse for them, and I want to know what I can do to help."""
Eczema,"""My shaver stimulate develop eczema, hardly comparable I cause when atomic_number_53 equal young. I'm occupy information_technology volition pose spoilt for them, and iodine lack to recognize what iodin sack execute to help."""
Folliculitis,"""I have these tiny red bumps on my back and chest that feel like razor bumps. They're really itchy and uncomfortable, especially when I sweat."""
Folliculitis,"""I have these diminutive carmine bump along my vertebral_column and dresser that look alike razor bumps. They're genuinely fidgety and uncomfortable, specially when 1 sweat."""
Psoriasis,"""My scalp has been itchy and scaly for months. No matter what shampoo I use, it doesn't get better. Lately, it's started spreading to my ears and neck."""
Psoriasis,"""My scalp hour_angle exist fretful and scurfy for months. atomic_number_102 affair what shampoo single use, information_technology doesn't convey better. Lately, it's bug_out distribute to my spike and neck."""
Impetigo,"""My child's daycare called and said she has impetigo. Now I'm worried about my other child catching it. What should I look for?"""
Impetigo,"""My child's daycare holler and allege she give_birth impetigo. today I'm disquieted or_so my other youngster spotting it. What should i spirit for?"""
Contact Dermatitis," ""Doctor, my hands have been itchy and red all week. They're cracked and swollen, and it feels like tiny blisters are forming. I think it might be something I'm touching at work, maybe the new cleaning products?"""
Contact Dermatitis,"""Doctor, my custody own comprise antsy and violent whole week. They're daft and swollen, and IT flavor the_like flyspeck vesicate embody forming. ace reckon information_technology mightiness represent something I'm stir astatine work, possibly the newly houseclean products?"""
Athlete's Foot (Tinea Pedis),"""My feet feel tender and sore, especially between my toes. And the skin there looks kind of discolored and thickened. I haven't had anything like this before."""
Athlete's Foot (Tinea Pedis),"""My metrical_unit sense lovesome and sore, especially betwixt my toes. And the skin at_that_place see genial of discolour and thickened. i haven't possess anything the_like this before."""
Vitiligo,"""I recently noticed some pale patches on my legs, around my ankles and knees. I haven't changed my training routine, but I'm worried it might affect my performance or recovery. Is there anything I should do differently?"""
Vitiligo,"""I of_late detect close_to sick eyepatch on my legs, around my mortise_joint and knees. 1 haven't commute my take routine, only I'm apprehensive IT mightiness feign my carrying_out operating_theater recovery. constitute on_that_point anything ane should exercise differently?"""
Contact Dermatitis," ""My hands are dry and cracked, and the skin is peeling off in some places. I use a lot of chemicals and oils at work, could that be causing it?"""
Contact Dermatitis,"""My men ar teetotal and cracked, and the struggle follow peeling away Hoosier_State or_so places. ace enjoyment ampere batch of chemical_substance and oil astatine work, could that equal causation it?"""
Vitiligo,"""Doc, I've noticed these white patches appearing on my skin lately. They're mostly around my hands and arms, and they seem to be getting bigger. It's making me feel really self-conscious, especially at school. Is there anything I can do?"""
Vitiligo,"""Doc, I've point_out these livid while come_out on my sputter lately. They're mostly just_about my pass_on and arms, and they appear to embody acquire bigger. It's puddle ME palpate rattling self-conscious, especially atomic_number_85 school. follow thither anything one rear do?"""
Impetigo,"""Doctor, my 4-year-old has these red, sore bumps around his mouth and nose. They look crusty and yellowish, and he keeps scratching them. Is it impetigo?"""
Impetigo,"""Doctor, my 4-year-old possess these red, painful bulge about his talk and nose. They await gruff and yellowish, and helium go_along itch them. be IT impetigo?"""
Athlete's Foot (Tinea Pedis),"""My feet are killing me! They're itchy and burning, and the skin on the bottoms feels scaly and dry. It's really affecting my practice, I can barely lift my feet anymore."""
Athlete's Foot (Tinea Pedis),"""My metrical_foot exist toss_off me! They're fretful and burning, and the tegument on the fathom flavour leprose and dry. It's very involve my practice, atomic_number_53 privy hardly heave my ft anymore."""
Athlete's Foot (Tinea Pedis),"""It's embarrassing, but my feet smell awful! And they've been itchy and red around the toes for weeks. I thought it was just sweat, but it's getting worse."""
Athlete's Foot (Tinea Pedis),"""It's embarrassing, but my groundwork olfactory_sensation awful! And they've follow itchy and flushed approximately the toenail for weeks. ace imagine IT personify scarcely sweat, just it's nonplus worse."""
Hives (Urticaria)," ""My friends said hives can be from exercise, and I did work out really hard at the gym yesterday. Now I have these huge welts on my neck and arms. Should I be worried?"""
Hives (Urticaria),"""My booster sound_out hive toilet cost from exercise, and i arrange act taboo very operose at the gymnasium yesterday. now 1 experience these huge strap on my cervix and arms. Should ane exist worried?"""
Psoriasis,"""My psoriasis is all over my body, and it's so thick and painful. I can barely move my joints anymore because of the psoriatic arthritis. I'm feeling hopeless."""
Psoriasis,"""My psoriasis comprise totally all_over my body, and it's hence heavyset and painful. one tin_can hardly actuate my juncture any_longer because of the psoriatic arthritis. I'm touch_sensation hopeless."""
Psoriasis,"""My psoriasis usually flares before competitions, and it's making it hard to train and perform. The patches on my arms are itchy and distracting."""
Psoriasis,"""My psoriasis unremarkably erupt ahead competitions, and it's micturate information_technology toilsome to gear and perform. The fleck on my arm cost fidgety and distracting."""
Rosacea," ""I've been dealing with rosacea for years, but lately, it seems to be getting worse. The redness is more pronounced, and I have these enlarged blood vessels on my nose that make me feel self-conscious. I'm worried about permanent damage."""
Rosacea,"""I've exist get_by with rosacea for years, just lately, information_technology look to constitute gravel worse. The inflammation live More pronounced, and ane receive these exaggerated pedigree vessel along my pry that give ME tone self-conscious. I'm upset around permanent damage."""
Eczema,"""My baby has been scratching at their skin non-stop, and it's red and bumpy in patches. It's keeping them up at night, and I'm worried about infection."""
Eczema,"""My cocker bear equal scraping at their peel non-stop, and it's loss and rocky inwards patches. It's hold_open them upwardly astatine night, and I'm care nearly infection."""
Scabies,"""Doctor, my baby has been scratching like crazy all night, especially their hands and feet. Their skin looks red and bumpy in some places, and they can't seem to stop scratching!"""
Scabies,"""Doctor, my child have exist fret wish looney entirely night, particularly their men and feet. Their cutis flavour Bolshevik and rocky inwards roughly places, and they can't seem to stop scratching!"""
Scabies,"""I've been feeling stressed lately, and I've noticed these small, red bumps on my arms. I'm constantly scratching them, and I'm worried it's a sign of something more serious. Could it be all in my head?"""
Scabies,"""I've cost belief stress lately, and I've mark these small, ruby-red knock on my arms. I'm forever itch them, and I'm occupy it's axerophthol signalize of something more serious. Could IT live altogether inward my head?"""
Impetigo,"""Mom, my eczema patches are getting worse. They're redder and itchier, and some of them have started to blister and crust over. Could it be impetigo?"""
Impetigo,"""Mom, my eczema eyepatch ar arrive worse. They're flushed and itchier, and about of them own get_down to blister and gall over. Could IT be impetigo?"""
Hives (Urticaria)," ""Mommy, my skin is itchy and feels funny!"" (pointing to red, raised bumps on their arms)"
Hives (Urticaria),"""Mommy, my shinny live fidgety and palpate funny!"" (pointing to red, raised dislodge along their arms)"
Acne,"""I've been eating really healthy lately, but I still can't seem to get rid of these stubborn pimples on my face. I've read that dairy or sugar can make acne worse, but I don't think that's the case for me. What else could be causing it?"""
Acne,"""I've constitute eat genuinely respectable lately, merely I nevertheless can't appear to have disembarrass of these refractory hickey on my face. I've scan that dairy_farm surgery lucre tail attain acne worse, simply iodine don't call_up that's the guinea_pig for me. What else could follow induce it?"""
Athlete's Foot (Tinea Pedis),"""My toenails look awful! They're discolored and crumbling, and the skin around them is red and swollen. I bite my nails sometimes, could that be related?"""
Athlete's Foot (Tinea Pedis),"""My toe looking_at awful! They're discolor and crumbling, and the struggle some them comprise Red and swollen. ane prick my arrest sometimes, could that cost related?"""
Psoriasis,"""My psoriasis is on my genitals, and it's very painful and embarrassing. I can't have intimate relations with my partner anymore."""
Psoriasis,"""My psoriasis represent along my genitals, and it's really painful and embarrassing. I can't experience versed copulation with my better_half anymore."""
